X,Y,SUBTYPE
-121.4298846,38.5679418,CHRISTIAN
-122.1585336,37.8872452,CHRISTIAN
-122.067842,37.9026146,CHRISTIAN
-122.0587615,37.6280865,MUSLIM
-121.479597,38.489979,CHRISTIAN
-122.0647281,37.6348742,MUSLIM
-121.9372318,37.2610292,CHRISTIAN
-121.9372346,37.2610308,CHRISTIAN
-123.178777,44.0668468,CHRISTIAN
-122.0298723,37.5745212,CHRISTIAN
-122.0567874,37.6621615,CHRISTIAN
-121.9682543,37.5604461,CHRISTIAN
-121.9659265,37.9509742,CHRISTIAN
-123.0550982,44.0750654,CHRISTIAN
-122.044334,37.3527964,CHRISTIAN
-122.267878,37.8801187,CHRISTIAN
-121.9682248,37.5604447,CHRISTIAN
-121.9867665,37.5633564,CHRISTIAN
-122.0443414,37.3527954,CHRISTIAN
-123.1334752,44.1014612,CHRISTIAN
-123.3247111,43.3878893,CHRISTIAN
-121.4795851,38.4899697,CHRISTIAN
-121.9903044,37.9672077,CHRISTIAN
-121.9587534,37.5215469,CHRISTIAN
-121.9587191,37.5215505,CHRISTIAN
-121.4795946,38.4899781,CHRISTIAN
-121.9868175,37.5633346,CHRISTIAN
-121.4418053,38.5653396,CHRISTIAN
-121.4418076,38.5653392,CHRISTIAN
-121.5184568,38.5003514,CHRISTIAN
-121.5184558,38.5003486,CHRISTIAN
-121.9902703,37.9671424,CHRISTIAN
-121.990209,37.9671853,CHRISTIAN
-121.9902412,37.9671607,CHRISTIAN
-123.0550983,44.0750619,CHRISTIAN
-123.1787651,44.0668452,CHRISTIAN
-123.1448154,44.040248,CHRISTIAN
-123.0551101,44.075074,CHRISTIAN
-121.4752804,38.5420781,CHRISTIAN
-122.0568026,37.6622271,CHRISTIAN
-121.9658836,37.9509588,CHRISTIAN
-122.0443341,37.3527999,CHRISTIAN
-123.1447964,44.0402368,CHRISTIAN
-123.1787588,44.0668578,CHRISTIAN
-122.2677431,37.8181648,CHRISTIAN
-122.2660484,37.8785924,CHRISTIAN
-121.8075427,37.357454,CHRISTIAN
-122.3262141,40.5697177,CHRISTIAN
-122.0566591,37.3719187,BUDDHIST
-122.246137,37.7916558,CHRISTIAN
-121.8087368,37.3213082,MUSLIM
-121.9327569,37.0110788,BUDDHIST
-122.6211361,38.2570478,CHRISTIAN
-122.4212179,37.7854542,CHRISTIAN
-121.956098,37.4211977,MUSLIM
-123.3122972,44.5386511,CHRISTIAN
-122.2946581,37.8702002,CHRISTIAN
-122.2602169,37.8111043,CHRISTIAN
-122.4212669,37.7664068,CHRISTIAN
-122.4017286,37.7632208,CHRISTIAN
-122.4235218,37.7494172,CHRISTIAN
-122.4673341,37.7849359,CHRISTIAN
-122.4372083,37.7901867,CHRISTIAN
-122.4221746,37.7920475,CHRISTIAN
-123.2891927,44.5492859,CHRISTIAN
-121.8907927,37.3378207,CHRISTIAN
-121.890814,37.3378151,CHRISTIAN
-121.8236244,37.375827,CHRISTIAN
-121.8236193,37.3759559,CHRISTIAN
-122.042919,37.3773829,CHRISTIAN
-122.7430295,38.4345208,CHRISTIAN
-122.2739459,37.8172428,CHRISTIAN
-122.1967029,37.7583945,CHRISTIAN
-122.6456171,38.4653979,CHRISTIAN
-122.3528286,40.597249,CHRISTIAN
-122.358345,40.6097549,CHRISTIAN
-122.2409676,38.1337991,CHRISTIAN
-122.253577,37.8654213,CHRISTIAN
-122.7188347,38.4432183,CHRISTIAN
-122.6430546,38.2325797,CHRISTIAN
-122.6949973,38.3484464,CHRISTIAN
-122.2965326,37.8087346,CHRISTIAN
-122.7334501,38.4428976,MUSLIM
-122.7031949,38.4526701,CHRISTIAN
-122.4261299,37.7738367,BUDDHIST
-122.7162395,38.4440405,CHRISTIAN
-122.827222,38.561578,CHRISTIAN
-122.6878072,38.4471332,CHRISTIAN
-121.6663771,37.1390704,CHRISTIAN
-123.0580672,44.0758817,CHRISTIAN
-122.4359235,37.7517778,CHRISTIAN
-123.0988214,44.6154522,CHRISTIAN
-122.0032313,36.9769095,CHRISTIAN
-122.2677901,37.798471,BUDDHIST
-122.4355135,37.7632908,BUDDHIST
-122.4866256,37.764821,BUDDHIST
-122.410125,37.8015615,CHRISTIAN
-122.0289627,36.9780409,BUDDHIST
-121.9796196,36.9814267,CHRISTIAN
-122.0299505,36.9788598,CHRISTIAN
-122.2249946,40.4256318,CHRISTIAN
-122.2346497,40.4037646,CHRISTIAN
-122.4042308,40.5761075,CHRISTIAN
-122.3404616,40.5702359,CHRISTIAN
-122.6768362,38.4469472,CHRISTIAN
-122.7066278,38.4268979,CHRISTIAN
-122.707592,38.4397711,BUDDHIST
-122.578715,38.3666889,BUDDHIST
-122.8215437,38.3966882,BUDDHIST
-122.8652568,38.4317989,BUDDHIST
-122.4337209,37.7613806,BUDDHIST
-122.3999398,37.787254,BUDDHIST
-122.3907645,37.7306716,CHRISTIAN
-122.4130321,37.7369355,CHRISTIAN
-122.4613141,37.7448531,BUDDHIST
-122.3081098,38.3162399,MUSLIM
-121.8351927,37.3143793,BUDDHIST
-122.5037668,37.8695631,BUDDHIST
-122.5602474,37.9110722,BUDDHIST
-122.4568851,37.7224567,CHRISTIAN
-122.4350305,37.726719,CHRISTIAN
-122.4197321,37.756353,BUDDHIST
